iter	Passed	Remaining
0	18	1803
1	35	1715
2	56	1822
3	77	1864
4	100	1913
5	121	1904
6	140	1868
7	159	1839
8	179	1810
9	197	1781
10	218	1766
11	239	1756
12	260	1742
13	277	1706
14	296	1682
15	315	1656
16	332	1624
17	350	1597
18	368	1572
19	388	1553
20	409	1539
21	430	1526
22	449	1505
23	465	1474
24	483	1449
25	499	1422
26	520	1406
27	539	1386
28	559	1370
29	580	1354
30	601	1339
31	622	1323
32	642	1304
33	663	1287
34	684	1271
35	704	1252
36	726	1236
37	747	1220
38	768	1202
39	786	1179
40	803	1156
41	819	1131
42	835	1107
43	851	1083
44	867	1060
45	886	1040
46	902	1017
47	919	996
48	938	976
49	954	954
50	971	933
51	986	910
52	1007	893
53	1024	872
54	1048	857
55	1068	839
56	1115	841
57	1138	824
58	1158	805
59	1180	787
60	1202	768
61	1222	749
62	1242	729
63	1258	707
64	1274	686
65	1291	665
66	1308	644
67	1324	623
68	1338	601
69	1353	580
70	1370	559
71	1386	539
72	1402	518
73	1422	499
74	1439	479
75	1457	460
76	1475	440
77	1491	420
78	1508	401
79	1525	381
80	1546	362
81	1567	344
82	1588	325
83	1607	306
84	1626	287
85	1646	268
86	1662	248
87	1679	228
88	1696	209
89	1714	190
90	1732	171
91	1751	152
92	1774	133
93	1794	114
94	1819	95
95	1838	76
96	1857	57
97	1874	38
98	1893	19
99	1913	0
