iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.650171976	0.4279551512	0.3314285714	0.4568944093	0.2159659864
1	0.5299260138	0.3627018298	0.44	0.4326708062	0.2416780045
2	0.6521944841	0.4057216148	0.4542857143	0.4342857142	0.2621281179
3	0.6628349569	0.4163361344	0.4828571429	0.4483229815	0.2852301587
4	0.6424375921	0.4157997626	0.4857142857	0.4565217392	0.2840022676
5	0.597557723	0.3949289567	0.4657142857	0.4488198755	0.2631972789
6	0.5956569554	0.3855669892	0.4371428571	0.437391304	0.2444693878
7	0.5935621375	0.3845709036	0.44	0.4357763974	0.2434920635
8	0.5962406856	0.3994231858	0.4485714286	0.4613664595	0.2500566893
9	0.5944305088	0.3962463358	0.4342857143	0.458757764	0.2407981859
10	0.5759534792	0.391570244	0.44	0.457267081	0.2442800454
11	0.6064287242	0.4047536924	0.4628571429	0.4578882	0.2717755102
12	0.5973123063	0.3991408831	0.4571428571	0.4552795042	0.2648253968
13	0.5875143895	0.3989090398	0.46	0.4582608707	0.2650136054
14	0.5855508291	0.3935188894	0.4628571429	0.4532919251	0.2643696145
15	0.6078087454	0.3967624514	0.4485714286	0.4520496881	0.2605521542
16	0.6074692946	0.3954307063	0.4485714286	0.4505590049	0.2602585034
17	0.6069469193	0.3981480199	0.4457142857	0.45590062	0.2599365079
18	0.5870842235	0.3968937275	0.4485714286	0.4596273283	0.256484127
19	0.5778020817	0.3968534121	0.4514285714	0.4633540364	0.2562981859
20	0.5781028124	0.3956261315	0.4457142857	0.4617391295	0.253047619
21	0.5831550503	0.3946502445	0.4457142857	0.4557763968	0.2540260771
22	0.5819077776	0.397181568	0.4428571429	0.4602484464	0.2536213152
23	0.5878509794	0.3993365188	0.44	0.460993788	0.2536836735
24	0.5944438456	0.4023572656	0.4485714286	0.4628571421	0.2603945578
25	0.6019851892	0.4042195509	0.44	0.4617391296	0.2593321995
26	0.5994495255	0.403199994	0.4371428571	0.4617391296	0.2558582766
27	0.599479156	0.4007912905	0.4342857143	0.4581366452	0.2544988662
28	0.5996316984	0.4028331041	0.4314285714	0.4612422351	0.2531734694
29	0.5990180018	0.3971704856	0.4314285714	0.4536645954	0.2525056689
30	0.5988554422	0.3988942762	0.4314285714	0.4555279496	0.2520975057
31	0.5956370774	0.3978956638	0.4314285714	0.4563975146	0.250946712
32	0.5937454059	0.3965165723	0.4285714286	0.4552795023	0.2472006803
33	0.5950963876	0.3944992903	0.4257142857	0.4515527943	0.2447947846
34	0.5946517162	0.3968845946	0.4314285714	0.4556521731	0.2506043084
35	0.5933906646	0.3963586242	0.4257142857	0.4556521731	0.2472777778
36	0.5895595645	0.39649764	0.4257142857	0.4565217382	0.2455884354
37	0.5871802673	0.3927911928	0.4285714286	0.4527950302	0.2461598639
38	0.592125144	0.3944851619	0.4228571429	0.4536645955	0.2445453515
39	0.5921533733	0.3944956102	0.42	0.4536645955	0.2433378685
40	0.5913164978	0.390548647	0.4314285714	0.4488198751	0.2473605442
41	0.5914563074	0.3946741142	0.4285714286	0.4545341608	0.2466927438
42	0.5913396177	0.3918237632	0.4285714286	0.4504347819	0.2454705215
43	0.5905272469	0.3937848095	0.4285714286	0.4536645956	0.2451054422
