iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.8282388288	0.6419743787	0.6828571429	0.6514285727	0.5438979592
1	0.8558435836	0.7142926873	0.76	0.7248447221	0.6575192744
2	0.8565623842	0.7372235457	0.7971428571	0.7515527957	0.7035079365
3	0.8844080229	0.7486874402	0.7942857143	0.7510559016	0.7080453515
4	0.8815266492	0.754057295	0.8142857143	0.7614906835	0.7278650794
5	0.8772301425	0.7680776478	0.8142857143	0.7780124227	0.7308435374
6	0.8851464776	0.7707485814	0.8085714286	0.7762732936	0.7260453515
7	0.9031035456	0.7689452186	0.8028571429	0.769068324	0.7231111111
8	0.902798498	0.7789422252	0.8314285714	0.7770186349	0.7570170068
9	0.9025179864	0.7778938168	0.8314285714	0.7801242247	0.7561077098
10	0.8917320976	0.767058388	0.84	0.7694409945	0.7614024943
11	0.8993376353	0.7792205258	0.8371428571	0.7793788825	0.7691655329
12	0.9048634804	0.7848017987	0.8428571429	0.7839751564	0.7720782313
13	0.9004760239	0.7926225541	0.8542857143	0.7935403737	0.7847653061
14	0.920389675	0.7928152571	0.84	0.7853416164	0.7746530612
15	0.9181823652	0.784432875	0.8514285714	0.7783850948	0.7767346939
16	0.92016077	0.7861993968	0.8514285714	0.7788819883	0.7763106576
17	0.9176393847	0.788925838	0.8457142857	0.7836024856	0.7694931973
18	0.9163838656	0.7879824463	0.8542857143	0.7809937901	0.7757482993
19	0.9160659584	0.7908241888	0.86	0.781118013	0.7849433107
20	0.9224655727	0.8002121985	0.8428571429	0.7895652181	0.7715555556
21	0.9212040393	0.7967642804	0.8428571429	0.7832298144	0.7729501134
22	0.919681402	0.7962950819	0.8542857143	0.7862111813	0.7811530612
23	0.921507594	0.8007451262	0.8485714286	0.7894409949	0.7792052154
24	0.9292446226	0.8095306734	0.8542857143	0.7966459643	0.7913015873
25	0.9295140394	0.810821004	0.8514285714	0.7971428582	0.7920578231
