ticker,industry,index
ALGM,Semiconductor,DJUSSC
TSEM,Semiconductor,DJUSSC
FN,Semiconductor,DJUSSC
MTSI,Semiconductor,DJUSSC
SLAB,Semiconductor,DJUSSC
IPGP,Semiconductor,DJUSSC
POWI,Semiconductor,DJUSSC
CRUS,Semiconductor,DJUSSC
SHLS,Semiconductor,DJUSSC
RMBS,Semiconductor,DJUSSC
SYNA,Semiconductor,DJUSSC
DIOD,Semiconductor,DJUSSC
AMBA,Semiconductor,DJUSSC
ARRY,Semiconductor,DJUSSC
PI,Semiconductor,DJUSSC
MXL,Semiconductor,DJUSSC
SITM,Semiconductor,DJUSSC
JKS,Semiconductor,DJUSSC
SIMO,Semiconductor,DJUSSC
CSIQ,Semiconductor,DJUSSC
SMTC,Semiconductor,DJUSSC
FORM,Semiconductor,DJUSSC
COHU,Semiconductor,DJUSSC
HIMX,Semiconductor,DJUSSC
PLAB,Semiconductor,DJUSSC
ADEA,Semiconductor,DJUSSC
SATX,Semiconductor,DJUSSC
MSFT,Software & Computer Services,DJUSSV
ORCL,Software & Computer Services,DJUSSV
ACN,Software & Computer Services,DJUSSV
ADBE,Software & Computer Services,DJUSSV
IBM,Software & Computer Services,DJUSSV
CRM,Software & Computer Services,DJUSSV
INTU,Software & Computer Services,DJUSSV
ADP,Software & Computer Services,DJUSSV
NOW,Software & Computer Services,DJUSSV
ATVI,Software & Computer Services,DJUSSV
VMW,Software & Computer Services,DJUSSV
SNPS,Software & Computer Services,DJUSSV
SNOW,Software & Computer Services,DJUSSV
PANW,Software & Computer Services,DJUSSV
ROP,Software & Computer Services,DJUSSV
NTES,Software & Computer Services,DJUSSV
