iter	Passed	Remaining
0	141	13988
1	236	11590
2	329	10659
3	423	10154
4	519	9873
5	618	9686
6	710	9443
7	806	9269
8	907	9173
9	1009	9083
10	1111	8994
11	1218	8933
12	1323	8856
13	1422	8736
14	1522	8628
15	1620	8506
16	1712	8362
17	1808	8240
18	1915	8168
19	2022	8090
20	2130	8014
21	2240	7944
22	2351	7873
23	2453	7768
24	2555	7667
25	2663	7580
26	2774	7500
27	2880	7407
28	2988	7317
29	3086	7202
30	3192	7106
31	3301	7016
32	3411	6925
33	3514	6822
34	3649	6777
35	3780	6720
36	3895	6632
37	4080	6657
38	4208	6583
39	4325	6488
40	4574	6582
41	4826	6665
42	4976	6597
43	5102	6494
44	5245	6411
45	5371	6306
46	5505	6208
47	5614	6082
48	5722	5956
49	5827	5827
50	5932	5700
51	6040	5575
52	6149	5453
53	6257	5330
54	6366	5208
55	6478	5089
56	6588	4970
57	6695	4848
58	6801	4726
59	6908	4605
60	7017	4486
61	7127	4368
62	7238	4251
63	7340	4128
64	7446	4009
65	7559	3894
66	7673	3779
67	7785	3663
68	7888	3544
69	8001	3429
70	8116	3315
71	8225	3198
72	8325	3079
73	8430	2962
74	8537	2845
75	8647	2730
76	8768	2619
77	8881	2504
78	8987	2389
79	9098	2274
80	9196	2157
81	9301	2041
82	9411	1927
83	9516	1812
84	9622	1698
85	9731	1584
86	9834	1469
87	9943	1355
88	10052	1242
89	10156	1128
90	10257	1014
91	10362	901
92	10470	788
93	10576	675
94	10683	562
95	10790	449
96	10893	336
97	10991	224
98	11100	112
99	11199	0
