ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
MCD,2003-03-31,,,0.3766571670584758,14.46,0.257734393450366,0.1779,8.519,0.4433,18397602600,19.0097,1.1787,45.4261,1.7,1.768,0.7926,0.0471,-9.23234117471371,0.2531,0.0861,0.04,0.0917
MCD,2003-06-30,0.5255878284923926,0.3766571670584758,0.0450579740913262,22.06,0.3686105675146771,0.3063,9.1303,0.4648,28069144000,29.8227,1.7513,46.1435,2.4064,2.3083,0.7832,0.0444,-9.057607670543854,0.2561,0.11,0.038,0.0837
MCD,2003-09-30,0.0670897552130553,0.0450579740913262,-0.0616189063680858,23.54,0.4273224043715847,0.6032,9.0933,0.4616,29876026400,29.8193,1.8123,31.9495,2.5647,2.3367,0.7361,0.047,-9.176935926124363,0.275,0.1215,0.0398,0.0859
MCD,2003-12-31,0.0548003398470687,-0.0616189063680858,0.1377726760225208,24.83,0.0984030061061531,0.1529,9.3799,0.4637,31335460000,21.2963,1.8281,19.7625,2.6152,2.3444,0.6859,0.0688,-9.485499207606972,0.1499,0.0275,0.0576,0.1245
MCD,2004-03-31,0.1506242448650826,0.1377726760225208,-0.1029449749806849,28.57,0.4010192081536652,0.566,9.6969,0.479,35981343700,21.7344,2.0282,17.2862,2.9091,2.4872,0.8812,0.0755,-8.84080640935041,0.2626,0.1162,0.064,0.1359
MCD,2004-06-30,-0.0899544977248862,-0.1029449749806849,0.1010950593207239,26.0,0.4658517350157728,0.4417,9.986,0.497,32662240000,18.3981,1.7957,14.5152,2.5794,2.2388,1.1232,0.0808,-8.342673374514424,0.266,0.1249,0.0692,0.1418
MCD,2004-09-30,0.0780769230769231,0.1010950593207239,0.0564410996974698,28.03,0.6136865342163356,0.7674,10.218,0.492,35239596300,17.5644,1.8936,14.3782,2.7189,2.277,0.985,0.0919,-8.32788476070028,0.2826,0.158,0.0774,0.1566
MCD,2004-12-31,0.1437745272921869,0.0564410996974698,-0.0028445897527707,32.06,0.310132501948558,0.417,11.0689,0.5101,40712994000,17.8683,2.1895,14.5893,2.8668,2.5648,0.8117,0.1007,-8.48743995590204,0.2055,0.0876,0.0841,0.1677
MCD,2005-03-31,-0.0286961946350593,-0.0028445897527707,-0.1179603367922144,31.14,0.5647013188518231,0.4271,11.3557,0.5374,39469950000,15.8202,2.0776,15.0694,2.6964,2.4355,1.048,0.1068,-7.730887573964497,0.2552,0.1515,0.0906,0.173
MCD,2005-06-30,-0.1088631984585742,-0.1179603367922144,0.1753861231837025,27.75,0.4177364731826415,0.4665,11.3102,0.5322,34688887500,14.2482,1.7914,13.0827,2.4155,2.1117,0.989,0.1053,-7.662173513059478,0.2596,0.104,0.0898,0.1679
MCD,2005-09-30,0.2068468468468469,0.1753861231837025,-0.0089849972151155,33.49,0.5783265177728846,0.8578,11.4156,0.5213,42149509300,17.6239,2.1325,15.2219,2.9036,2.3881,0.9194,0.1051,-7.56858974868303,0.2758,0.138,0.0872,0.1656
MCD,2005-12-30,0.0068677217079724,-0.0089849972151155,-0.0183351766857202,33.72,0.4815225132547281,0.3925,11.9855,0.505,42595104000,16.3688,2.228,15.6026,2.8122,2.4725,1.5139,0.1087,-6.826868271057632,0.3006,0.1563,0.0899,0.1754
MCD,2006-03-31,0.0189798339264531,-0.0183351766857202,-0.0030666030974629,34.36,0.4918974197608559,0.2561,11.9312,0.5123,42815308800,17.1288,2.2266,17.0919,2.8229,2.4818,1.425,0.0992,-7.355868002054443,0.2476,0.1272,0.0838,0.1649
