iter	Passed	Remaining
0	161	15973
1	257	12629
2	355	11509
3	445	10696
4	541	10288
5	635	9957
6	724	9629
7	814	9361
8	904	9140
9	991	8922
10	1074	8693
11	1175	8617
12	1265	8471
13	1356	8335
14	1460	8276
15	1562	8202
16	1645	8032
17	1747	7960
18	1846	7873
19	1948	7792
20	2046	7699
21	2138	7582
22	2233	7478
23	2329	7376
24	2428	7284
25	2518	7167
26	2612	7062
27	2709	6968
28	2811	6884
29	2898	6762
30	3009	6699
31	3101	6589
32	3207	6511
33	3315	6435
34	3420	6352
35	3514	6247
36	3618	6161
37	3722	6073
38	3818	5972
39	3912	5868
40	4017	5780
41	4130	5703
42	4227	5603
43	4323	5503
44	4432	5417
45	4538	5327
46	4642	5235
47	4735	5130
48	4834	5032
49	4930	4930
50	5030	4832
51	5127	4733
52	5223	4632
53	5343	4551
54	5448	4457
55	5550	4360
56	5652	4263
57	5751	4164
58	5847	4063
59	5949	3966
60	6051	3869
61	6143	3765
62	6248	3670
63	6350	3571
64	6463	3480
65	6582	3390
66	6688	3294
67	6792	3196
68	6907	3103
69	7021	3009
70	7139	2916
71	7256	2821
72	7373	2727
73	7485	2630
74	7589	2529
75	7702	2432
76	7819	2335
77	7936	2238
78	8050	2140
79	8173	2043
80	8264	1938
81	8368	1836
82	8488	1738
83	8614	1640
84	8738	1542
85	8854	1441
86	8965	1339
87	9080	1238
88	9185	1135
89	9293	1032
90	9386	928
91	9482	824
92	9578	720
93	9675	617
94	9772	514
95	9864	411
96	9961	308
97	10065	205
98	10166	102
99	10265	0
