iter	QuerySoftMax	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
75	3.801678527	0.9100410346	0.8122967907	0.8465116279	0.8067745214	0.7781598376
76	3.801157722	0.9072952671	0.8076370857	0.8511627907	0.8025278076	0.7806090808
77	3.800878899	0.9102276066	0.8132311593	0.8511627907	0.8066734093	0.7837227759
78	3.800613516	0.9063021442	0.8106118092	0.8488372093	0.803741154	0.7821677741
79	3.800181742	0.9103643553	0.8135856259	0.8511627907	0.805864511	0.782622739
80	3.799982572	0.9105622388	0.8141304959	0.8488372093	0.8055611742	0.7820108896
81	3.799643825	0.9093875407	0.8150438903	0.8511627907	0.8071789701	0.7831220007
82	3.799465856	0.9154632089	0.8159471374	0.8581395349	0.8059656236	0.7925092285
83	3.799222689	0.9156607872	0.8184497941	0.8581395349	0.8099090006	0.792530454
84	3.798796753	0.9194034772	0.8225559739	0.8604651163	0.8140546018	0.7990614618
85	3.798558092	0.9183537232	0.8231189317	0.8604651163	0.8160768465	0.799336471
86	3.798154146	0.9248052739	0.824098975	0.8651162791	0.8153690607	0.8036517165
87	3.797867146	0.9258473691	0.8261898964	0.8651162791	0.8163801831	0.8027214839
88	3.797579533	0.9183699548	0.8247291222	0.8627906977	0.8174924177	0.8030149502
89	3.797314941	0.9259346292	0.829018459	0.8604651163	0.8178968665	0.8032115172
90	3.796961634	0.9273093106	0.829680334	0.8581395349	0.8187057648	0.7996382429
91	3.796754667	0.9227587772	0.8268570657	0.8581395349	0.8163801834	0.799692691
92	3.796463345	0.9238078794	0.8299251724	0.8604651163	0.8188068767	0.8016666667
93	3.796253006	0.9291058964	0.8320401371	0.8581395349	0.8205257848	0.8029992617
94	3.79604437	0.9238346159	0.8330612657	0.8604651163	0.822750254	0.8047692876
95	3.795894713	0.9238265977	0.8302773011	0.8651162791	0.8196157747	0.8081229236
96	3.795737268	0.9235629027	0.83226903	0.8651162791	0.8226491418	0.8097812846
97	3.795476261	0.9235576262	0.833162166	0.8651162791	0.8239636008	0.8109856035
98	3.795246658	0.9220189139	0.8301273158	0.8627906977	0.8209302337	0.8095487265
99	3.795131521	0.9220186731	0.8283537846	0.8674418605	0.818806877	0.8144748985
