iter	Passed	Remaining
0	69	6876
1	84	4154
2	101	3268
3	116	2802
4	136	2585
5	154	2424
6	172	2288
7	189	2177
8	203	2059
9	218	1964
10	233	1888
11	249	1828
12	265	1776
13	282	1738
14	361	2050
15	432	2268
16	454	2217
17	472	2153
18	492	2099
19	511	2044
20	528	1988
21	542	1923
22	560	1875
23	574	1820
24	589	1769
25	605	1723
26	620	1677
27	631	1625
28	647	1584
29	661	1544
30	677	1506
31	690	1468
32	705	1432
33	719	1396
34	732	1360
35	747	1328
36	761	1295
37	775	1265
38	789	1234
39	805	1207
40	821	1182
41	839	1158
42	856	1135
43	875	1114
44	893	1092
45	908	1066
46	924	1042
47	939	1017
48	955	994
49	970	970
50	987	948
51	1005	927
52	1025	909
53	1047	892
54	1069	875
55	1090	856
56	1109	836
57	1127	816
58	1145	796
59	1161	774
60	1175	751
61	1191	730
62	1208	709
63	1224	688
64	1241	668
65	1257	647
66	1274	627
67	1291	607
68	1312	589
69	1328	569
70	1344	549
71	1360	528
72	1373	507
73	1390	488
74	1407	469
75	1424	449
76	1441	430
77	1458	411
78	1474	392
79	1491	372
80	1505	353
81	1523	334
82	1539	315
83	1559	296
84	1575	278
85	1592	259
86	1609	240
87	1625	221
88	1643	203
89	1660	184
90	1676	165
91	1693	147
92	1711	128
93	1727	110
94	1744	91
95	1761	73
96	1778	55
97	1796	36
98	1817	18
99	1834	0
