iter	ERR	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
44	0.8671675238	0.7604651163	0.3310046879	0.6487486157
45	0.8723865907	0.7627906977	0.3320158103	0.6520191953
46	0.8726346922	0.7604651163	0.3310046879	0.6499529347
47	0.8597608094	0.7581395349	0.3299935656	0.6449317091
48	0.8706825674	0.7558139535	0.3289824432	0.6473135843
49	0.8650661618	0.7558139535	0.3289824432	0.6467340347
50	0.8782050244	0.7534883721	0.3279713209	0.6449114064
51	0.8783933928	0.7488372093	0.3259490762	0.6453700628
52	0.8777111495	0.7511627907	0.3269601985	0.646523625
53	0.876638329	0.7488372093	0.3259490762	0.6465531561
54	0.877269278	0.7511627907	0.3269601985	0.6504069767
55	0.8813628665	0.7488372093	0.3259490762	0.6482613511
56	0.8784212125	0.7558139535	0.3289824432	0.6522720561
57	0.8720179977	0.7558139535	0.3289824432	0.6519536729
58	0.8671494208	0.7651162791	0.3330269326	0.6634449982
59	0.8749512135	0.7581395349	0.3299935656	0.6593170912
60	0.8571212332	0.7581395349	0.3299935656	0.6543004799
61	0.8704351642	0.7581395349	0.3299935656	0.6568493909
62	0.8771845107	0.7558139535	0.3289824432	0.6555352529
63	0.8808394534	0.7534883721	0.3279713209	0.6512070875
64	0.8878725016	0.7604651163	0.3310046879	0.6600692137
65	0.8877423368	0.7534883721	0.3279713209	0.6530094131
66	0.8880331619	0.7488372093	0.3259490762	0.6506146179
67	0.8828659259	0.7465116279	0.3249379539	0.6499741602
68	0.8825811701	0.7441860465	0.3239268315	0.6486295681
69	0.8836140297	0.7511627907	0.3269601985	0.6551504245
70	0.888934905	0.7511627907	0.3269601985	0.6559163898
71	0.8881189178	0.7558139535	0.3289824432	0.6604835733
72	0.888799668	0.7581395349	0.3299935656	0.6619250646
73	0.888140228	0.7581395349	0.3299935656	0.662555371
74	0.8830686863	0.7581395349	0.3299935656	0.6651642673
75	0.8832139638	0.7558139535	0.3289824432	0.66446567
76	0.8827651396	0.7604651163	0.3310046879	0.6687190845
77	0.8933802533	0.7604651163	0.3310046879	0.6696843854
78	0.8988416833	0.7604651163	0.3310046879	0.6688473606
79	0.9006366464	0.7674418605	0.334038055	0.6788768918
80	0.899495081	0.7581395349	0.3299935656	0.6719001477
81	0.8994485848	0.7604651163	0.3310046879	0.6746013289
82	0.8992450438	0.7627906977	0.3320158103	0.674618863
83	0.8991635318	0.7651162791	0.3330269326	0.6788002953
84	0.8950267961	0.7627906977	0.3320158103	0.6793540052
85	0.899271259	0.7790697674	0.3390936667	0.6901245847
86	0.8994595391	0.7744186047	0.337071422	0.6891934293
87	0.8970040067	0.7790697674	0.3390936667	0.691769103
88	0.8969984274	0.7790697674	0.3390936667	0.6933324105
89	0.8954663669	0.7790697674	0.3390936667	0.6923320413
90	0.8954518515	0.7837209302	0.3411159114	0.6953183832
91	0.8962309648	0.7744186047	0.337071422	0.6872351421
92	0.8903258318	0.7860465116	0.3421270337	0.6963851975
93	0.8909061433	0.7906976744	0.3441492784	0.6984237726
94	0.8902570059	0.788372093	0.3431381561	0.6968503138
95	0.890269683	0.7906976744	0.3441492784	0.6971594684
96	0.8865555017	0.788372093	0.3431381561	0.6940153193
97	0.8889625589	0.7860465116	0.3421270337	0.6926541159
98	0.8998310676	0.788372093	0.3431381561	0.6965079365
99	0.8905034699	0.7837209302	0.3411159114	0.6910908084
100	0.8898940433	0.7790697674	0.3390936667	0.6881459948
101	0.899796772	0.7790697674	0.3390936667	0.6934025471
102	0.8954809927	0.7790697674	0.3390936667	0.6913565891
103	0.8953460885	0.7790697674	0.3390936667	0.6913418236
104	0.8852105545	0.7813953488	0.340104789	0.6888925803
105	0.8951569038	0.7837209302	0.3411159114	0.6948874123
106	0.8949580271	0.7837209302	0.3411159114	0.6943272425
107	0.8952317399	0.7744186047	0.337071422	0.6864645626
108	0.8909980743	0.7790697674	0.3390936667	0.6901024363
109	0.8910629072	0.7860465116	0.3421270337	0.697585825
