iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.7725268081	0.5984158106	0.6257142857	0.6224844711	0.4695090703
1	0.8204233574	0.6553263265	0.7028571429	0.670559005	0.5648945578
2	0.768059191	0.6508551022	0.7314285714	0.6854658381	0.5774160998
3	0.8328385907	0.6705183592	0.7342857143	0.6822360238	0.5971031746
4	0.8554212278	0.6940845417	0.7542857143	0.7007453421	0.6206020408
5	0.8511307101	0.7039647109	0.7571428571	0.714037268	0.6362006803
6	0.8790691754	0.7080373652	0.7514285714	0.7075776396	0.6381609977
7	0.8834118073	0.7104738065	0.7371428571	0.7118012426	0.6226258503
8	0.8807356546	0.7105218382	0.7485714286	0.713291925	0.634053288
9	0.8863701871	0.716114759	0.7628571429	0.7168944097	0.6502380952
10	0.8802827342	0.7236920937	0.7628571429	0.7301863358	0.6564569161
11	0.8681108467	0.7327334969	0.7514285714	0.7424844722	0.650760771
12	0.8886414497	0.7405772417	0.76	0.7421118013	0.6590736961
13	0.8833634798	0.7361240292	0.7457142857	0.7401242235	0.6430702948
14	0.9024513797	0.7538500297	0.76	0.7549068322	0.6672743764
15	0.8927811304	0.735933652	0.7657142857	0.7330434771	0.6697800454
16	0.8901853271	0.7333483168	0.76	0.7315527947	0.6600941043
17	0.8875125574	0.73788665	0.7571428571	0.7391304343	0.6601043084
18	0.8905273736	0.7478365436	0.7714285714	0.7457142858	0.6769512472
19	0.8944973765	0.7411571826	0.7771428571	0.7391304346	0.6821179138
20	0.905776125	0.7478249325	0.7571428571	0.7419875775	0.6689229025
21	0.9090355534	0.7473274397	0.7628571429	0.7383850932	0.6740034014
22	0.8888004731	0.7379552515	0.7771428571	0.7350310557	0.6830147392
23	0.9079484989	0.7448632129	0.7714285714	0.7370186329	0.678314059
24	0.8829510604	0.7316882281	0.78	0.7277018626	0.6860147392
25	0.8737854891	0.7398821223	0.7857142857	0.7398757758	0.6917222222
26	0.8931193824	0.7435367405	0.7914285714	0.7375155272	0.7003854875
27	0.8894757356	0.7474030942	0.7857142857	0.7427329181	0.6930963719
28	0.8832842631	0.7543041733	0.7857142857	0.7537888197	0.6947290249
29	0.8807987328	0.7451530043	0.7942857143	0.7447204963	0.699638322
30	0.8870826303	0.7502849998	0.7942857143	0.7485714279	0.7045181406
31	0.8875228677	0.752480144	0.8057142857	0.7489440988	0.7140975057
32	0.8843224653	0.7573868672	0.8028571429	0.7583850928	0.7124773243
33	0.8941623707	0.7543197559	0.8028571429	0.7513043472	0.7141836735
34	0.8941551629	0.7595891721	0.7942857143	0.756273291	0.7106054422
35	0.8949136162	0.7655116627	0.8028571429	0.7653416143	0.7178684807
36	0.8902003137	0.7643866335	0.8028571429	0.7663354032	0.7127063492
37	0.8926796771	0.7617801095	0.8	0.7607453413	0.7088888889
38	0.8943486919	0.7563545484	0.8057142857	0.7519254654	0.7134727891
39	0.9008025649	0.7607064042	0.7971428571	0.7563975155	0.7067902494
40	0.8985378802	0.757290675	0.7914285714	0.7527950301	0.7023174603
41	0.8992564196	0.7621414424	0.8028571429	0.7587577634	0.7164285714
42	0.9027503615	0.7620962922	0.8057142857	0.7568944095	0.7175079365
43	0.8965387262	0.7627860324	0.8057142857	0.7602484468	0.7173492063
44	0.896434705	0.7619803734	0.8085714286	0.7596273286	0.7207494331
45	0.8972265022	0.7598742091	0.8114285714	0.7563975149	0.7230442177
46	0.8964182701	0.7615982675	0.8057142857	0.7595031054	0.7187664399
47	0.8969248592	0.7646327896	0.8085714286	0.7609937886	0.7225249433
48	0.8967358613	0.7633114261	0.8085714286	0.7599999997	0.7231814059
49	0.8988498382	0.7641986548	0.8085714286	0.7607453415	0.7231292517
50	0.8990473179	0.7657764572	0.8057142857	0.7621118008	0.7188956916
51	0.8979648593	0.7673347217	0.8028571429	0.76621118	0.7159750567
52	0.8978381507	0.7669348904	0.7971428571	0.7668322982	0.7100589569
53	0.8978381571	0.7666117173	0.7942857143	0.7660869566	0.7069761905
54	0.8973957739	0.7633985779	0.7914285714	0.7629813666	0.7036371882
55	0.8974616278	0.7626446813	0.7971428571	0.7619875777	0.7075623583
56	0.8969151546	0.7629186061	0.8	0.7628571427	0.7106349206
