ticker
GOOG
AMZN
META
BABA
NFLX
PDD
MELI
LULU
BIDU
CSGP
SE
CPNG
IT
EBAY
DASH
VRSN
CHWY
PINS
CHKP
ETSY
SPOT
TME
MTCH
XP
VIPS
DOCS
BZ
SGFY
LU
IAC
ZD
ATHM
GLBE
AFRM
MMYT
WOOF
BRZE
GDRX
GETY
YELP
COUR
RVLV
ZIP
SSTK
VZIO
FTCH
CARG
UPST
IQ
ACVA
