ticker
XOM
CVX
COP
EOG
SLB
OXY
PXD
EPD
MPC
PSX
VLO
HES
LNG
WMB
KMI
DVN
ET
HAL
MPLX
OKE
BKR
FANG
CTRA
MRO
IEP
APA
EQT
CHK
OVV
WES
MMP
AR
DINO
PAA
NOV
DCP
HESM
SWN
MTDR
MUR
RRC
NFG
PDCE
DTM
ENLC
CHRD
FTI
AM
HP
PBF
CIVI
MGY
NE
VAL
KNTK
SM
DEN
WHD
PTEN
CRK
ACDC
CRC
ETRN
CVI
WFRD
CNX
CEQP
RIG
LBRT
PR
KOS
NOG
PAGP
NEX
HPK
HEP
CPE
CRGY
USAC
DKL
