ticker
MSFT
ORCL
ACN
ADBE
IBM
CRM
INTU
ADP
NOW
ATVI
VMW
SNPS
SNOW
PANW
ROP
NTES
CDNS
WDAY
PAYX
ADSK
SHOP
SQ
MSCI
TEAM
EA
CTSH
VRSK
CRWD
VEEV
MBLY
CDW
DDOG
TTD
ANSS
ZM
EPAM
PAYC
RBLX
NU
ZS
TTWO
FDS
BR
NET
PLTR
FICO
SNAP
GEN
PTC
SPLK
HUBS
MDB
AZPN
AKAM
TYL
U
SSNC
JKHY
BILL
ZI
GDDY
PCTY
DOCU
BSY
DT
DOX
OKTA
CDAY
TOST
BILI
BKI
FFIV
TWLO
COIN
DBX
HOOD
GLOB
MANH
NTNX
GTLB
PATH
PCOR
KBR
CACI
DLB
CFLT
XM
DXC
CLVT
SAIC
HCP
COUP
EXLS
DNB
CYBR
ESTC
CCCS
INFA
MNDY
SMAR
GWRE
NATI
PWSC
SPSC
FIVN
WIX
ALIT
PSN
PYCR
EEFT
TENB
YOU
BOX
WK
FRSH
QLYS
S
KNBE
CWAN
BMBL
APPF
BL
DV
NEWR
DLO
ALTR
APP
RNG
NSIT
TDC
INST
SPT
AYX
ENV
ASAN
PLTK
PEGA
BLKB
DAVA
SRAD
