ticker
EMR
KEYS
ROK
DELL
HPQ
FTV
HPE
TER
TRMB
ZBRA
SWK
SNA
FLEX
CGNX
PLUG
ST
LFUS
OLED
NOVT
COHR
VRT
AIMC
ONTO
SANM
AEIS
NCR
VSH
PLXS
NVMI
VIAV
ITRI
ESE
SONO
MTRN
FCEL
