iter	Passed	Remaining
0	6	665
1	12	596
2	18	605
3	25	600
4	31	605
5	38	599
6	43	580
7	48	562
8	53	545
9	58	524
10	62	507
11	67	494
12	73	489
13	77	475
14	82	465
15	87	457
16	93	456
17	99	451
18	105	450
19	112	448
20	117	443
21	127	453
22	134	450
23	140	446
24	145	437
25	151	431
26	156	421
27	161	415
28	167	408
29	172	401
30	176	393
31	182	387
32	187	380
33	191	372
34	197	367
35	202	359
36	207	352
37	212	346
38	218	341
39	223	335
40	229	330
41	235	325
42	240	319
43	246	313
44	252	309
45	294	345
46	298	337
47	303	328
48	307	319
49	312	312
50	319	306
51	324	299
52	329	292
53	335	285
54	339	277
55	344	270
56	349	263
57	354	256
58	359	249
59	364	243
60	369	236
61	377	231
62	382	224
63	387	217
64	392	211
65	397	204
66	402	198
67	406	191
68	412	185
69	419	179
70	424	173
71	429	167
72	435	161
73	440	154
74	445	148
75	450	142
76	454	135
77	459	129
78	463	123
79	468	117
80	473	110
81	477	104
82	496	101
83	510	97
84	517	91
85	524	85
86	530	79
87	538	73
88	543	67
89	549	61
90	554	54
91	560	48
92	565	42
93	570	36
94	575	30
95	579	24
96	585	18
97	591	12
98	596	6
99	601	0
